net,length_um
net8,45.8µm
net12,38.7µm
net7,33.53µm
net9,32.88µm
net1,29.24µm
net2,22.12µm
_06_,17.92µm
net10,16.92µm
net11,16.02µm
count[0],15.75µm
_04_,15.14µm
clknet_1_1__leaf_clk,14.26µm
_08_,13.56µm
_10_,13.46µm
load_value[2],12.27µm
clknet_1_0__leaf_clk,10.54µm
load_value[3],10.19µm
net6,9.98µm
load_value[0],9.64µm
_11_,9.58µm
_12_,9.4µm
load_value[1],9.19µm
clknet_0_clk,8.32µm
net4,7.98µm
clk,7.25µm
load,6.99µm
en,5.97µm
_13_,5.6µm
count[2],5.07µm
_14_,4.88µm
net5,4.54µm
count[1],4.39µm
count[3],4.39µm
net3,4.34µm
rst_n,3.93µm
_05_,3.56µm
_01_,3.54µm
_03_,3.2µm
_02_,2.28µm
_09_,2.16µm
_07_,1.38µm
_00_,1.36µm
