Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_7_41,VGND,li1,25.3000,32.6400,0.000005
FILLER_7_29,VGND,li1,21.6200,32.6400,0.000006
FILLER_7_26,VGND,li1,17.9400,32.6400,0.000008
FILLER_7_17,VGND,li1,14.7200,32.6400,0.000009
FILLER_5_3,VGND,li1,7.1300,27.2000,0.000018
FILLER_4_37,VGND,li1,23.0000,21.7600,0.000057
FILLER_4_3,VGND,li1,7.1300,21.7600,0.000099
FILLER_3_28,VGND,li1,18.6300,21.7600,0.000081
FILLER_2_37,VGND,li1,23.0000,16.3200,0.000010
FILLER_2_27,VGND,li1,18.1700,16.3200,0.000014
FILLER_1_41,VGND,li1,26.2200,16.3200,0.000008
FILLER_1_29,VGND,li1,21.6200,16.3200,0.000011
FILLER_1_13,VGND,li1,11.7300,16.3200,0.000017
FILLER_0_41,VGND,li1,26.2200,10.8800,0.000000
FILLER_0_29,VGND,li1,21.6200,10.8800,0.000000
FILLER_0_27,VGND,li1,18.1700,10.8800,0.000001
FILLER_0_18,VGND,li1,15.1800,10.8800,0.000001
FILLER_0_6,VGND,li1,11.0400,10.8800,0.000001
clkbuf_1_1__f_clk,VGND,li1,23.4600,27.2000,0.000011
clkbuf_1_0__f_clk,VGND,li1,11.5000,21.7600,0.000099
clkbuf_0_clk,VGND,li1,13.8000,21.7600,0.000095
fanout12,VGND,li1,17.0200,16.3200,0.000015
output11,VGND,li1,27.1400,32.6400,0.000005
output10,VGND,li1,7.8200,32.6400,0.000011
output9,VGND,li1,27.1400,21.7600,0.000048
output8,VGND,li1,9.6600,32.6400,0.000010
input7,VGND,li1,25.7600,16.3200,0.000008
input6,VGND,li1,25.5300,21.7600,0.000048
input5,VGND,li1,11.2700,32.6400,0.000010
input4,VGND,li1,24.1500,21.7600,0.000057
input3,VGND,li1,17.2500,10.8800,0.000001
input2,VGND,li1,7.5900,10.8800,0.000001
input1,VGND,li1,7.5900,16.3200,0.000018
TAP_TAPCELL_ROW_7_20,VGND,li1,18.6300,32.3480,0.000007
TAP_TAPCELL_ROW_6_19,VGND,li1,18.6300,27.4910,0.000014
TAP_TAPCELL_ROW_4_18,VGND,li1,18.6300,22.0510,0.000081
TAP_TAPCELL_ROW_2_17,VGND,li1,18.6300,16.6110,0.000014
TAP_TAPCELL_ROW_0_16,VGND,li1,18.6300,11.1710,0.000001
PHY_EDGE_ROW_7_Left_15,VGND,li1,6.2100,32.6400,0.000011
PHY_EDGE_ROW_6_Left_14,VGND,li1,6.2100,27.2000,0.000018
PHY_EDGE_ROW_5_Left_13,VGND,li1,6.2100,27.2000,0.000018
PHY_EDGE_ROW_4_Left_12,VGND,li1,6.2100,21.7600,0.000099
PHY_EDGE_ROW_3_Left_11,VGND,li1,6.2100,21.7600,0.000099
PHY_EDGE_ROW_2_Left_10,VGND,li1,6.2100,16.3200,0.000018
PHY_EDGE_ROW_1_Left_9,VGND,li1,6.2100,16.3200,0.000018
PHY_EDGE_ROW_0_Left_8,VGND,li1,6.2100,10.8800,0.000001
PHY_EDGE_ROW_7_Right_7,VGND,li1,28.7500,32.6400,0.000005
PHY_EDGE_ROW_6_Right_6,VGND,li1,28.7500,27.2000,0.000011
PHY_EDGE_ROW_5_Right_5,VGND,li1,28.7500,27.2000,0.000011
PHY_EDGE_ROW_4_Right_4,VGND,li1,28.7500,21.7600,0.000048
PHY_EDGE_ROW_3_Right_3,VGND,li1,28.7500,21.7600,0.000048
PHY_EDGE_ROW_2_Right_2,VGND,li1,28.7500,16.3200,0.000008
PHY_EDGE_ROW_1_Right_1,VGND,li1,28.7500,16.3200,0.000008
PHY_EDGE_ROW_0_Right_0,VGND,li1,28.7500,10.8800,0.000000
_33_,VGND,li1,23.4600,27.2000,0.000011
_32_,VGND,li1,11.5000,27.2000,0.000018
_31_,VGND,li1,23.4600,21.7600,0.000057
_30_,VGND,li1,11.5000,16.3200,0.000018
_29_,VGND,li1,16.7900,27.2000,0.000015
_28_,VGND,li1,16.7900,32.6400,0.000008
_27_,VGND,li1,17.2500,27.2000,0.000015
_26_,VGND,li1,9.2000,27.2000,0.000018
_25_,VGND,li1,12.8800,27.2000,0.000018
_24_,VGND,li1,12.6500,32.6400,0.000010
_23_,VGND,li1,20.7000,21.7600,0.000067
_22_,VGND,li1,20.7000,16.3200,0.000011
_21_,VGND,li1,18.1700,16.3200,0.000014
_20_,VGND,li1,17.2500,21.7600,0.000081
_19_,VGND,li1,9.8900,16.3200,0.000018
_18_,VGND,li1,13.3400,16.3200,0.000017
_17_,VGND,li1,8.2800,21.7600,0.000099
_16_,VGND,li1,15.4100,16.3200,0.000015
_15_,VGND,li1,16.7900,16.3200,0.000015
