Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_7_41,VPWR,li1,25.3000,29.9200,1.799984
FILLER_7_29,VPWR,li1,21.6200,29.9200,1.799985
FILLER_7_26,VPWR,li1,17.9400,29.9200,1.799981
FILLER_7_17,VPWR,li1,14.7200,29.9200,1.799979
FILLER_5_3,VPWR,li1,7.1300,24.4800,1.799937
FILLER_4_37,VPWR,li1,23.0000,24.4800,1.799951
FILLER_4_3,VPWR,li1,7.1300,24.4800,1.799937
FILLER_3_28,VPWR,li1,18.6300,19.0400,1.799986
FILLER_2_37,VPWR,li1,23.0000,19.0400,1.799987
FILLER_2_27,VPWR,li1,18.1700,19.0400,1.799986
FILLER_1_41,VPWR,li1,26.2200,13.6000,1.799999
FILLER_1_29,VPWR,li1,21.6200,13.6000,1.799999
FILLER_1_13,VPWR,li1,11.7300,13.6000,1.799997
FILLER_0_41,VPWR,li1,26.2200,13.6000,1.799999
FILLER_0_29,VPWR,li1,21.6200,13.6000,1.799999
FILLER_0_27,VPWR,li1,18.1700,13.6000,1.799998
FILLER_0_18,VPWR,li1,15.1800,13.6000,1.799998
FILLER_0_6,VPWR,li1,11.0400,13.6000,1.799997
clkbuf_1_1__f_clk,VPWR,li1,23.4600,24.4800,1.799951
clkbuf_1_0__f_clk,VPWR,li1,11.5000,19.0400,1.799983
clkbuf_0_clk,VPWR,li1,13.8000,24.4800,1.799938
fanout12,VPWR,li1,17.0200,19.0400,1.799986
output11,VPWR,li1,27.1400,29.9200,1.799983
output10,VPWR,li1,7.8200,29.9200,1.799975
output9,VPWR,li1,27.1400,24.4800,1.799951
output8,VPWR,li1,9.6600,29.9200,1.799976
input7,VPWR,li1,25.7600,19.0400,1.799987
input6,VPWR,li1,25.5300,24.4800,1.799951
input5,VPWR,li1,11.2700,29.9200,1.799976
input4,VPWR,li1,24.1500,24.4800,1.799951
input3,VPWR,li1,17.2500,13.6000,1.799998
input2,VPWR,li1,7.5900,13.6000,1.799997
input1,VPWR,li1,7.5900,13.6000,1.799997
TAP_TAPCELL_ROW_7_20,VPWR,li1,18.6300,30.2260,1.799983
TAP_TAPCELL_ROW_6_19,VPWR,li1,18.6300,29.6130,1.799983
TAP_TAPCELL_ROW_4_18,VPWR,li1,18.6300,24.1730,1.799951
TAP_TAPCELL_ROW_2_17,VPWR,li1,18.6300,18.7330,1.799986
TAP_TAPCELL_ROW_0_16,VPWR,li1,18.6300,13.2930,1.799998
PHY_EDGE_ROW_7_Left_15,VPWR,li1,6.2100,29.9200,1.799975
PHY_EDGE_ROW_6_Left_14,VPWR,li1,6.2100,29.9200,1.799975
PHY_EDGE_ROW_5_Left_13,VPWR,li1,6.2100,24.4800,1.799937
PHY_EDGE_ROW_4_Left_12,VPWR,li1,6.2100,24.4800,1.799937
PHY_EDGE_ROW_3_Left_11,VPWR,li1,6.2100,19.0400,1.799983
PHY_EDGE_ROW_2_Left_10,VPWR,li1,6.2100,19.0400,1.799983
PHY_EDGE_ROW_1_Left_9,VPWR,li1,6.2100,13.6000,1.799997
PHY_EDGE_ROW_0_Left_8,VPWR,li1,6.2100,13.6000,1.799997
PHY_EDGE_ROW_7_Right_7,VPWR,li1,28.7500,29.9200,1.799983
PHY_EDGE_ROW_6_Right_6,VPWR,li1,28.7500,29.9200,1.799983
PHY_EDGE_ROW_5_Right_5,VPWR,li1,28.7500,24.4800,1.799951
PHY_EDGE_ROW_4_Right_4,VPWR,li1,28.7500,24.4800,1.799951
PHY_EDGE_ROW_3_Right_3,VPWR,li1,28.7500,19.0400,1.799987
PHY_EDGE_ROW_2_Right_2,VPWR,li1,28.7500,19.0400,1.799987
PHY_EDGE_ROW_1_Right_1,VPWR,li1,28.7500,13.6000,1.799999
PHY_EDGE_ROW_0_Right_0,VPWR,li1,28.7500,13.6000,1.799999
_33_,VPWR,li1,23.4600,29.9200,1.799984
_32_,VPWR,li1,11.5000,29.9200,1.799977
_31_,VPWR,li1,23.4600,19.0400,1.799987
_30_,VPWR,li1,11.5000,19.0400,1.799983
_29_,VPWR,li1,16.7900,24.4800,1.799947
_28_,VPWR,li1,16.7900,29.9200,1.799981
_27_,VPWR,li1,17.2500,29.9200,1.799981
_26_,VPWR,li1,9.2000,24.4800,1.799937
_25_,VPWR,li1,12.8800,24.4800,1.799938
_24_,VPWR,li1,12.6500,29.9200,1.799977
_23_,VPWR,li1,20.7000,24.4800,1.799956
_22_,VPWR,li1,20.7000,19.0400,1.799988
_21_,VPWR,li1,18.1700,13.6000,1.799998
_20_,VPWR,li1,17.2500,19.0400,1.799986
_19_,VPWR,li1,9.8900,13.6000,1.799997
_18_,VPWR,li1,13.3400,13.6000,1.799997
_17_,VPWR,li1,8.2800,24.4800,1.799937
_16_,VPWR,li1,15.4100,13.6000,1.799998
_15_,VPWR,li1,16.7900,13.6000,1.799998
